,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_max_error,split1_test_max_error,split2_test_max_error,split3_test_max_error,split4_test_max_error,mean_test_max_error,std_test_max_error,rank_test_max_error,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
46,3.614747953414917,0.04889373693772031,0.06310510635375977,0.0020460193828540896,3,3,400,"{'min_samples_leaf': 3, 'min_samples_split': 3, 'n_estimators': 400}",-442.7446921897547,-292.6523216991342,-127.10829608585871,-134.84919334138084,-88.60995115995118,-217.1928908952159,132.66275430898355,40,-80.6541392528452,-42.359955163656394,-41.837705969151145,-17.787344192443324,-13.020347577003271,-39.13189843101986,23.99683858850418,25
47,4.7960185527801515,0.0752705044384381,0.10302958488464356,0.030149380650069113,3,3,500,"{'min_samples_leaf': 3, 'min_samples_split': 3, 'n_estimators': 500}",-442.2823549062049,-292.3438116605617,-129.53686507936513,-135.2466935619936,-89.3507905816406,-217.7521031579532,131.94978199349202,49,-80.64590954188616,-42.27674856247596,-41.89046333355706,-17.78032865362427,-13.016747313739298,-39.12203948105655,23.995012169310858,22
48,0.5135490894317627,0.07010000126948111,0.009053468704223633,0.00018728151961177296,3,4,50,"{'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 50}",-439.000119047619,-288.5646825396825,-132.11783405483405,-133.9934468864469,-90.19002380952381,-216.77322126762124,130.0624000377974,31,-80.50585486847753,-43.06180471658467,-43.113377230421115,-17.86612259935545,-12.779534045391284,-39.465338692046004,24.03840687953022,37
49,0.9877186775207519,0.04835812338137539,0.020891952514648437,0.008132863704777924,3,4,100,"{'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 100}",-440.90673412698413,-289.23735678210676,-129.7594411976912,-133.2452948162948,-89.41637950937951,-216.5130412864913,131.34277415707132,22,-80.77322833989416,-42.97656033177218,-42.60557372819715,-17.69857293406894,-13.328773830282026,-39.47654183284289,24.022668408935644,43
50,1.9879607200622558,0.11858597067009273,0.03156437873840332,0.000621288233668146,3,4,200,"{'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 200}",-442.10745923520926,-291.70097384559887,-126.35245274170268,-134.09088947163946,-86.41483612221113,-216.13332228327226,132.9610706207099,10,-80.7357502747715,-42.85439771699446,-41.50513764031467,-17.72128015311079,-13.042840948640722,-39.17188134676643,24.039198221691635,28
51,2.7384972095489504,0.07815943391848032,0.04719309806823731,0.0009527776603705389,3,4,300,"{'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 300}",-442.6682275132275,-292.7212487974988,-123.09076515151523,-135.45512503237504,-87.88776376401378,-216.36462605172605,133.26388745441457,16,-80.64566772955898,-42.43571050600042,-41.59399669389231,-17.7720051009007,-13.033485941572408,-39.09617319438496,23.990564559992784,19
52,3.6236517906188963,0.022821922985995387,0.062047815322875975,0.0018383877760804886,3,4,400,"{'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 400}",-442.7446921897547,-292.6523216991342,-127.10829608585871,-134.84919334138084,-88.60995115995118,-217.1928908952159,132.66275430898355,40,-80.6541392528452,-42.359955163656394,-41.837705969151145,-17.787344192443324,-13.020347577003271,-39.13189843101986,23.99683858850418,25
53,4.533405399322509,0.059112452513541094,0.0781491756439209,0.0009727978296131549,3,4,500,"{'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 500}",-442.2823549062049,-292.3438116605617,-129.53686507936513,-135.2466935619936,-89.3507905816406,-217.7521031579532,131.94978199349202,49,-80.64590954188616,-42.27674856247596,-41.89046333355706,-17.78032865362427,-13.016747313739298,-39.12203948105655,23.995012169310858,22
54,0.418048095703125,0.0028761425153785657,0.008523797988891602,0.00024774655393205514,4,2,50,"{'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 50}",-441.329943001443,-287.36670584970585,-119.64037734487732,-135.661664002664,-89.8489859029859,-214.76953522033523,132.29718301291643,1,-80.29233331211503,-43.092938397202,-41.45283431361681,-17.76341271514532,-12.724389014181,-39.06518155045203,23.954976352586527,13
55,0.8388346672058106,0.01003454843823762,0.01595582962036133,0.0003778599053306903,4,2,100,"{'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",-443.64002669552667,-288.7468121600622,-122.13195129870132,-137.2987105117105,-89.62843084693085,-216.2891863025863,132.73020704731934,13,-80.55175736090489,-42.93747378661453,-41.18359614743214,-17.71881805031669,-13.068872272439627,-39.092103523541574,23.967019033823142,16
